codigo_publicacion,serie,numero,sku_tesoros,estado_sku_tesoros,estado_codigo,clave_sombra,titulo,autor,tipo,encuadernacion,paginas,interior,isbn_publicado,ean13_checksum_valido,isbn13_formato_valido,codigo_barras_ean13,nota_isbn,pvp_eur,fecha_catalogo,fuente_sombra,fuente_codigo,fuente_codex
G3,G,3,ALMEG3,esperado_por_patron,confirmado_codex,LM228G3,Las Frondas de los Medianos,Carlos de la Cruz,Suplemento,grapado color,20 + 1 mapa A3 color,A4 b/n,9788881388622,true,true,9788881388622,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,6.00,2020-11-09,https://dbsombra.com/index.asp?cod=LM228G3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
G4,G,4,ALMEG4,esperado_por_patron,derivado_clave_sombra,LM277G4,El País de los Elfos de la Bruma,Manuel López Coloma,Suplemento,grapado color,48,A4 b/n,5580205579624,true,false,5580205579624,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",15.00,2025-12-19,https://dbsombra.com/index.asp?cod=LM277G4,https://dbsombra.com/index.asp?cod=LM277G4,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
G5,G,5,ALMEG5,esperado_por_patron,derivado_clave_sombra,LM278G5,Visirtán (tierra de magia y arena),Miguel Ángel Muñoz,Suplemento,grapado color,110,A4 b/n,9780201379624,true,true,9780201379624,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,25.00,2025-12-19,https://dbsombra.com/index.asp?cod=LM278G5,https://dbsombra.com/index.asp?cod=LM278G5,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
G6,G,6,ALMEG6,esperado_por_patron,derivado_clave_sombra,LM294G6,Un Alto en el Camino,"Damaso Chicharro, Ernesto Martín y Javier Muñoz",Suplemento,grapado color,28,A4 b/n,9440244474426,true,false,9440244474426,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",12.00,2026-05-29,https://dbsombra.com/index.asp?cod=LM294G6,https://dbsombra.com/index.asp?cod=LM294G6,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
H1,H,1,ALMEH1,esperado_por_patron,confirmado_codex_sin_sombra_actual,,La Aldea Asolada por la Muerte,,Aventura histórica,,,,,,,,Sin dato en el catálogo actual de Sombra,,,,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
H2,H,2,ALMEH2,esperado_por_patron,confirmado_codex_sin_sombra_actual,,El Último Caballero de la Orden Escarlata,,Aventura histórica,,,,,,,,Sin dato en el catálogo actual de Sombra,,,,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
H3,H,3,ALMEH3,esperado_por_patron,confirmado_codex_sin_sombra_actual,,Nuestros Hermanos Caídos en Batalla,,Aventura histórica,,,,,,,,Sin dato en el catálogo actual de Sombra,,,,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
H4,H,4,ALMEH4,esperado_por_patron,confirmado_codex_sin_sombra_actual,,La Espada en la Roca,,Aventura histórica,,,,,,,,Sin dato en el catálogo actual de Sombra,,,,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
HO1,HO,1,ALMEHO1,esperado_por_patron,confirmado_codex,LM246HO1,Lo que el Ojo no ve,vv.aa.,Suplemento,rústica color,62,A4 b/n,9782253058151,true,true,9782253058151,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,12.00,2023-05-19,https://dbsombra.com/index.asp?cod=LM246HO1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
K1,K,1,ALMEK1,esperado_por_patron,confirmado_codex,LM234K1,En Compañía de Cuervos,Manu Sáez,Suplemento,grapado color,20 + encarte,b/n,9780201111620,true,true,9780201111620,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,7.50,2021-07-30,https://dbsombra.com/index.asp?cod=LM234K1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
LB,LB,,,,derivado_clave_sombra,LM264LB,Aventuras en la Marca del Este (ed. bolsillo),"Pedro Gil, Cristobal Sánchez y Salvador García",Básico,rústica con solapas color,192,17x24 b/n,9785201379629,true,true,9785201379629,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,12.00,2025-06-13,https://dbsombra.com/index.asp?cod=LM264LB,https://dbsombra.com/index.asp?cod=LM264LB,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
LB,LB,,,,derivado_clave_sombra,LM240LB,Crónicas de la Marca,Javier García y Pedro Gil,Básico,rústica color con solapas,212,A4 b/n,9788493585822,true,true,9788493585822,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,30.00,2022-10-21,https://dbsombra.com/index.asp?cod=LM240LB,https://dbsombra.com/index.asp?cod=LM240LB,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
LS1,LS,1,ALMELS1,esperado_por_patron,derivado_clave_sombra,LM291LS1,Regreso al Templo de los Antiguos (Legado subyugador 1),Jesús Matheo Labeaga,Suplemento,grapado color,32,A4 b/n,9744441379622,true,false,9744441379622,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",14.00,2026-04-24,https://dbsombra.com/index.asp?cod=LM291LS1,https://dbsombra.com/index.asp?cod=LM291LS1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MA,MA,,,,derivado_clave_sombra,LM268MA,La Isla de los Dioses Olvidados,Chance Dudinack,Suplemento,grapado color,32,A5 b/n,9780200079624,true,true,9780200079624,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,10.00,2025-08-29,https://dbsombra.com/index.asp?cod=LM268MA,https://dbsombra.com/index.asp?cod=LM268MA,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MM1,MM,1,ALMEMM1,esperado_por_patron,derivado_clave_sombra,LM243MM1,Más allá de las tierras de la Marca 1,Alex Damaceno,Suplemento,grapado color,20,A5 color,9788493585824,false,false,,"Tiene prefijo ISBN 978/979, pero el checksum EAN-13 no es válido",8.00,2023-01-27,https://dbsombra.com/index.asp?cod=LM243MM1,https://dbsombra.com/index.asp?cod=LM243MM1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MM2,MM,2,ALMEMM2,esperado_por_patron,derivado_clave_sombra,LM257MM2,Más allá de las tierras de la Marca 2,Alex Damaceno,Suplemento,grapado color,20,A5 color,9781244567597,true,true,9781244567597,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2025-01-31,https://dbsombra.com/index.asp?cod=LM257MM2,https://dbsombra.com/index.asp?cod=LM257MM2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MN1,MN,1,ALMEMN1,esperado_por_patron,derivado_clave_sombra,LM225MN1,Marjalnegro,Robert Conley,Suplemento,grapado color,24 + 2 mapas A3 color,A4 b/n,9780201300628,true,true,9780201300628,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,6.00,2020-11-09,https://dbsombra.com/index.asp?cod=LM225MN1,https://dbsombra.com/index.asp?cod=LM225MN1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MN2,MN,2,ALMEMN2,esperado_por_patron,derivado_clave_sombra,LM245MN2,La balada del efímero paladín,Manu Saez,Suplemento,grapado color,,A4 b/n,9780201370058,true,true,9780201370058,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2023-03-17,https://dbsombra.com/index.asp?cod=LM245MN2,https://dbsombra.com/index.asp?cod=LM245MN2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MN3,MN,3,ALMEMN3,esperado_por_patron,derivado_clave_sombra,LM263MN3,Guía Marjalnegro + Hasta que la Muerte os Separe,Fali Ruíz-Davila,Suplemento,grapado color,12+24,A4 b/n,9780209632622,true,true,9780209632622,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,18.00,2025-05-09,https://dbsombra.com/index.asp?cod=LM263MN3,https://dbsombra.com/index.asp?cod=LM263MN3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MN4,MN,4,ALMEMN4,esperado_por_patron,derivado_clave_sombra,LM296MN4,El Yelmo Astado y otras leyendas del Gran Reino,Fali Ruiz Dávila,Suplemento,carpeta color ambas caras,30,A4 b/n,-,false,false,,Sin ISBN según Sombra,12.00,2026-07-03,https://dbsombra.com/index.asp?cod=LM296MN4,https://dbsombra.com/index.asp?cod=LM296MN4,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
MP,MP,,,,derivado_clave_sombra,LM242MP,Mapamundi de Valion,vv. aa.,Suplemento,carpeta con mapas y encartes color,2 mapas + 8 encartes + cuadernillo 8 páginas,"88x60 color + 27,5x22,2 color + A5 color",9788493585823,false,false,,"Tiene prefijo ISBN 978/979, pero el checksum EAN-13 no es válido",20.00,2023-01-27,https://dbsombra.com/index.asp?cod=LM242MP,https://dbsombra.com/index.asp?cod=LM242MP,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
PB,PB,,,,derivado_clave_sombra,LM256PB,The Pit of Blasphemy (castellano),Tania Herrero,Suplemento,rústica color con solapas,64,A5 color,-,false,false,,Sin ISBN según Sombra,23.00,2024-11-08,https://dbsombra.com/index.asp?cod=LM256PB,https://dbsombra.com/index.asp?cod=LM256PB,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
PS1,PS,1,ALMEPS1,esperado_por_patron,confirmado_codex,LM233PS1,Manual de Psiónica,Pedro Gil,Suplemento,grapado color,40,A4 b/n,9780201399998,true,true,9780201399998,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,9.00,2021-07-02,https://dbsombra.com/index.asp?cod=LM233PS1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
S1,S,1,ALMES1,esperado_por_patron,derivado_clave_sombra,LM244S1,La gesta del enano,Javier Fernández Valls,Suplemento,grapado color,28,A4 b/n,9780001079601,true,true,9780001079601,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2023-02-17,https://dbsombra.com/index.asp?cod=LM244S1,https://dbsombra.com/index.asp?cod=LM244S1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
SN,SN,,,,derivado_clave_sombra,LM267SN,La Sierpe Negra de Brandonsford,Chance Dudinack,Suplemento,grapado color,20,A4 b/n,9780205375554,true,true,9780205375554,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,12.00,2025-08-29,https://dbsombra.com/index.asp?cod=LM267SN,https://dbsombra.com/index.asp?cod=LM267SN,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
SP1,SP,1,ALMESP1,esperado_por_patron,confirmado_codex,LM220SP1,Tomo de magia,Pedro Gil,Suplemento,rústica-color,20,b/n A4,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM220SP1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
SP2,SP,2,ALMESP2,esperado_por_patron,derivado_clave_sombra,LM295SP2,El Laberinto de las Mil Puertas,vv.aa.,Suplemento,grapado color,20,A4 b/n,9785432277626,true,true,9785432277626,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,10.00,2026-05-29,https://dbsombra.com/index.asp?cod=LM295SP2,https://dbsombra.com/index.asp?cod=LM295SP2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
TN1,TN,1,ALMETN1,esperado_por_patron,derivado_clave_sombra,LM221TN1,Pacto de Cenizas,Diego Marqués Vega,Suplemento,rústica-color,28,b/n A4,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM221TN1,https://dbsombra.com/index.asp?cod=LM221TN1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
TN2,TN,2,ALMETN2,esperado_por_patron,derivado_clave_sombra,LM222TN2,El Feudo en Llamas,Diego Marqués Vega,Suplemento,rústica-color,32,b/n A4,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM222TN2,https://dbsombra.com/index.asp?cod=LM222TN2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
TN3,TN,3,ALMETN3,esperado_por_patron,derivado_clave_sombra,LM229TN3,El Corazón de la Oscuridad,Diego Marqués Vega,Suplemento,cartoné color,182 + carpeta con 15 mapas A3 + cuad. A5 20 pág.,A4 b/n,.,false,false,,Sin ISBN según Sombra,40.00,2020-11-09,https://dbsombra.com/index.asp?cod=LM229TN3,https://dbsombra.com/index.asp?cod=LM229TN3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
V1,V,1,ALMEV1,esperado_por_patron,derivado_clave_sombra,LM206V1,El Castillo Prohibido de la Reina de Sangre,José Manuel Palacios,Suplemento,encarte tríptico-grapado-color,32,b/n - A4,LM206V1,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,8.00,2017-01-25,https://dbsombra.com/index.asp?cod=LM206V1,https://dbsombra.com/index.asp?cod=LM206V1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
V2,V,2,ALMEV2,esperado_por_patron,derivado_clave_sombra,LM232V2,No profanarás el Sueño de los Muertos,José Carlos de Diego,Suplemento,grapado color,44,A4 b/n,9700201000922,true,false,9700201000922,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",9.00,2021-06-11,https://dbsombra.com/index.asp?cod=LM232V2,https://dbsombra.com/index.asp?cod=LM232V2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
V3,V,3,ALMEV3,esperado_por_patron,confirmado_codex,LM253V3,El Ojo de Sa'nna,Joaquín Blanes Garrido,Suplemento,grapado color,24,A4 b/n,9780201300093,true,true,9780201300093,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,7.50,2024-05-31,https://dbsombra.com/index.asp?cod=LM253V3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
X1,X,1,ALMEX1,esperado_por_patron,derivado_clave_sombra,LM205X1,En busca de la Ciudad Perdida de Garan,Carlos de la Cruz,Suplemento,encarte-grapado-color,44,b/n - A4,LM205X1,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,7.00,2017-01-25,https://dbsombra.com/index.asp?cod=LM205X1,https://dbsombra.com/index.asp?cod=LM205X1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
X2,X,2,ALMEX2,esperado_por_patron,derivado_clave_sombra,LM210X2,El Arca de los Mil Inviernos,Jordi Morera,Suplemento,grapado + mapa,56,b/n A4,LM210X2,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,9.00,2018-03-23,https://dbsombra.com/index.asp?cod=LM210X2,https://dbsombra.com/index.asp?cod=LM210X2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
X3,X,3,ALMEX3,esperado_por_patron,derivado_clave_sombra,LM241X3,La Taiga Maldita,Pedro Gil y Eduardo Antúnez,Suplemento,grapado color,32,A4 b/n,9788493585426,true,true,9788493585426,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,10.00,2022-10-21,https://dbsombra.com/index.asp?cod=LM241X3,https://dbsombra.com/index.asp?cod=LM241X3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
X4,X,4,ALMEX4,esperado_por_patron,derivado_clave_sombra,LM261X4,Tiempos oscuros en Dormunder,Pablo C. Ganter,Suplemento,carpeta color,24,A4 b/n,9780244379339,true,true,9780244379339,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,9.00,2025-05-09,https://dbsombra.com/index.asp?cod=LM261X4,https://dbsombra.com/index.asp?cod=LM261X4,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
XR1,XR,1,ALMEXR1,esperado_por_patron,derivado_clave_sombra,LM254XR1,La ciudad de Xorandor,Diego Marqués Vega,Suplemento,rústica color con solapa,84,A4 b/n,9780207897979,true,true,9780207897979,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,25.00,2024-06-28,https://dbsombra.com/index.asp?cod=LM254XR1,https://dbsombra.com/index.asp?cod=LM254XR1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
XR2,XR,2,ALMEXR2,esperado_por_patron,derivado_clave_sombra,LM269XR2,Xorandor Las Casas,Diego Marqués Vega,Suplemento,rústica color con solapas,72,A4 b/n,9780200989626,true,true,9780200989626,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,20.00,2025-10-17,https://dbsombra.com/index.asp?cod=LM269XR2,https://dbsombra.com/index.asp?cod=LM269XR2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
XR3,XR,3,ALMEXR3,esperado_por_patron,derivado_clave_sombra,LM297XR3,Xorandor: la suboscuridad,Diego Marqués Vega,Suplemento,rústica color con solapas,76,A4 b/n,9000200079623,true,false,9000200079623,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",20.00,2026-07-03,https://dbsombra.com/index.asp?cod=LM297XR3,https://dbsombra.com/index.asp?cod=LM297XR3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
XR4,XR,4,ALMEXR4,esperado_por_patron,derivado_clave_sombra,LM286XR4,El Dédalo de la Casa Syldi,Diego Marqués Vega,Suplemento,grapado color,16,A4 b/n,9780001319752,true,true,9780001319752,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,10.00,2026-03-27,https://dbsombra.com/index.asp?cod=LM286XR4,https://dbsombra.com/index.asp?cod=LM286XR4,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
XR5,XR,5,ALMEXR5,esperado_por_patron,derivado_clave_sombra,LM287XR5,Luz Moribunda,Diego Marqués Vega,Suplemento,grapado color,44,A4 b/n,9780201398762,true,true,9780201398762,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,15.00,2026-03-27,https://dbsombra.com/index.asp?cod=LM287XR5,https://dbsombra.com/index.asp?cod=LM287XR5,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
