codigo,titulo,nivel_min,nivel_max,personajes_min,personajes_max,sesiones,etiquetas,resumen,fichero,url
,El Pantano de los Suspiros,3,4,3,4,2,Exploración|Bosque|Selva,Un mal antiguo acecha en el pantano y ha secuestrado a la hija del posadero… (no nos referimos al bardo) ¿podrán los aventureros afrontar este reto?.,el_pantano_de_los_suspiros.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el_pantano_de_los_suspiros.md
,El Presidio de Ibn Firnäs,1,5,4,5,1,Dungeon|Oneshot,"Si los aventureros pensaban que estaban de suerte al poder huir de la prisión que los retenía, es porque no tuvieron en cuenta los peligros que amenazan tras los barrotes de su propia celda.",el_presidio_de_Ibn_firnas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el_presidio_de_Ibn_firnas.md
,El secreto Von Dragonov,3,4,4,5,2,Investigación|Aldea|Vermigor,"Una parada en el camino hace que los aventureros lleguen a una pequeña aldea, sin embargo pronto descubren que no van a poder descansar ahí.",el_secreto_von_dragonov.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el_secreto_von_dragonov.md
,Fichas y Hojas de Personaje,,,,,,Reglamento,Presentamos aquí la recopilación de hojas de personaje utilizadas en los diferentes juegos y ediciones de la Marca del Este.,fichas_pj.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/fichas_pj.md
,Gazetteer,1,100,,,,Gazetteer,"El Gazetteer de la Marca del Este es una nueva caja, al estilo clásico, detallando el escenario de campaña de la Marca del Este dentro de la línea de Clásicos de la Marca para usar con el juego de rol Aventuras en la Marca del Este y similares. Este Gazetteer viene a revisar el contenido de la caja azul de manera profunda y mucho más detallada, disponiendo de nuevos mapas diseñados con un estilo más apropiado y a gran tamaño que recogerán las decenas de nuevas localizaciones y accidentes geográficos que el nuevo formato nos permite incluir.",gazetteer.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/gazetteer.md
H1,La aldea asolada por la muerte,1,3,3,5,2,Aldea|Investigación|Exterior,"En una apacible aldea, la Muerte camina entre los vivos. Solo un grupo de aguerridos aventureros será capaz de enfrentarse a los muertos cuando éstos decidan alzarse contra quienes aún siguen en pie.",h1-la-aldea-asolada-por-la-muerte.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/h1-la-aldea-asolada-por-la-muerte.md
H2,El último caballero de la orden escarlata,2,4,3,5,2,Dungeon,"Una reliquia maldita está haciendo que criaturas malignas deambulen por nuestro mundo, trayendo consigo el caos y la muerte que su señor, Penumbra, les ha ordenado. Un caballero, el último de su orden, ha jurado acabar con ese mal y para ello, ayudado por los aventureros, se adentrará en la tumba que debía custodiar la reliquia.",h2-el-ultimo-caballero-de-la-orden-escarlata.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/h2-el-ultimo-caballero-de-la-orden-escarlata.md
H3,Nuestros hermanos caídos en batalla,3,5,3,5,2,Dungeon,"Cuando un ejército de muertos vivientes se levanta para acabar con toda vida en la Marca, solo un secreto guardado por la Reina Vigdis II podrá evitar el temible final que nos aguarda.",h3-nuestros-hermanos-caidos-en-batalla.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/h3-nuestros-hermanos-caidos-en-batalla.md
H4,La espada en la roca,5,7,3,5,2,Dungeon,"Cuenta la leyenda que aquel que sea capaz de sacar la espada de la roca en la que se encuentra clavada, tendrá el poder absoluto a su alcance. ¿Pero qué sucedería si la leyenda estuviera mal desde sus orígenes? ¿Y si el poder absoluto es en realidad una simple quimera?",h4-la-espada-en-la-roca.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/h4-la-espada-en-la-roca.md
HO1,Lo que el Ojo no ve,2,3,4,6,4,Investigación|Exploración|Urbano,"Se presenta aquí la reedición de la aventura publicada por Holocubierta, en un nuevo formato más acorde a la línea de Clásicos, pero que conserva la esencia que el autor transmitió en la publicación original.",ho1-lo-que-el-ojo-no-ve.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/ho1-lo-que-el-ojo-no-ve.md
,Hojas gemelas,5,6,4,5,3,Investigación|Exploración|Exterior|Saja Raja,"En las recientemente creadas aldeas de Fuente Blanca y Fuente Roja, una joven semielfa ha desaparecido.",hojas-gemelas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/hojas-gemelas.md
,Ig-Nagor,3,4,3,6,3,Dungeon,"Hace ya cerca de 60 años el reino enano de Kur-Argor, situado en las Montañas de Lomas Brunas, cayó bajo asedio de un poderoso ejército de trasgos, venidos desde las tierras de Cuenca Troll aunados bajo el emblema de Jug an Gaujur (“Jug el grande” en idioma trasgo). Koraz “barba de Sauce” soberano del reino enano estableció una dura defensa que mantuvo en pie a su gente durante una guerra que duró más de dos años.",ig-nagor.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/ig-nagor.md
,Justicia,1,2,4,5,1,Vermigor|Investigación|Aldea|Exterior,"El tranquilo devenir de los PJs los hace pasar por Thaon, donde se veran envueltos en una trama de asesinato y venganza.",justicia.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/justicia.md
K1,En Compañía de Cuervos,1,36,4,6,,Gazetteer|Reglamento,"Aquí hablaremos sobre una raza singular, mitad hombre mitad cuervo. Se trata de los kenku. Este suplemento habla de esta raza y de sus posibilidades como aliado o antagonista.",k1-en-compania-de-cuervos.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/k1-en-compania-de-cuervos.md
,La caída de los justos,1,2,2,6,1,Investigación|Urbano|Oneshot,"Un asesinato, una amenaza de muerte en Robleda y una búsqueda contrarreloj para descubrir quién se esconde tras estos ataques.",la-caida-de-los-justos.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-caida-de-los-justos.md
,La Cala,2,3,4,6,1,Oneshot|Marítima,"¿El transporte de una mercancía valiosa es una misión sencilla, o no?.",la-cala.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-cala.md
,La colina del Avispon.,3,5,4,6,1,Oneshot|Exploración|Dungeon,"Tras un año de tranquilidad, la pequeña aldea vuelve a correr peligro. ¿Podrán los aventureros solventar definitivamente la amenaza?",la-colina-del-avispon.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-colina-del-avispon.md
,La Cripta de las Sombras,2,5,3,5,2,Dungeon,"Se dice que en sus profundidades plagadas de trampas y criaturas de todo tipo hay infinitos tesoros, objetos de poder y, según algunos cuentan, el mismo secreto de la inmortalidad.",la-cripta-de-las-sombras-niv1.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-cripta-de-las-sombras-niv1.md
,La fiesta de los disfraces,7,10,4,6,2,Urbano|Investigación,"Una misiva llega por separado a nuestros héroes, citándolos en el Palacio Mecerreyes de Décimo Fabio Píctor, Conde de Mantoverde, al oeste de Marvalar. ¿Una fiesta de disfraces?",la-fiesta-de-los-disfraces.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-fiesta-de-los-disfraces.md
ES1,La Furia de Rastilon,15,17,4,6,2,Dragón|Exploración|Dungeon|Sandbox|Exterior|Ciencia Fantasía,"Un gran peligro se abate sobre la Marca del Este, tal vez la amenaza más grave que jamás pudiéramos imaginar, llegada de allende las estrellas. El Imperio Rastilon ha puesto sus ojos en Valion y sólo los más grandes héroes que jamás hayan existido podrán conjurar este desafío. Es la hora de la verdad.",la-furia-de-rastilon.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-furia-de-rastilon.md
,La Hija del Gigante de Hielo,2,2,2,,2,Oneshot|Exterior,"Aventura corta inspirada en la historia de Conan del mismo nombre, ideal para jugar como one shot, en jornadas o como parte de una campaña.",la-hija-del-gigante-de-hielo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-hija-del-gigante-de-hielo.md
,La Isla del terror,3,6,6,10,2,Exploración|Isla|Sandbox|Marítima,"Traducción y adaptación para Aventuras en la Marca del Este del módulo ""Isle of Dread"", de la mítica primera edición de D&D.",la-isla-del-terror.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-isla-del-terror.md
,La isla roja,6,8,4,6,1,Oneshot|Exploración|Marítima|Isla,"Cuando todos esperan un despertar tranquilo, lo que obtienen en su lugar es sus cuerpos tendidos en la áspera arena de una playa rojiza de una isla que desconocen.",la-isla-roja.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-isla-roja.md
,La llamada de los Dioses.,1,2,3,5,50,Dungeon|Campaña|Isla|Exploración|Marítima,La megacamapaña 'La llamada de los dioses' ahora para todos desde el codex.,la-llamada-de-los-dioses.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-llamada-de-los-dioses.md
,La montaña soberana,1,20,4,6,,Megadungeon,"Un megadungeon a la vieja usanza, donde los jugadores podrán explorar el interior de una montaña con múltiples niveles de mazmorras por recorrer, rebosantes de aventura, criaturas extrañas, reliquias, magia y objetos de poder. La campaña es fácilmente adaptable a las reglas de Aventuras en la Marca del Este.",la-montaña-soberana.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-monta%C3%B1a-soberana.md
,La Torre del Sabio,4,6,3,4,1,Torreón|Oneshot,Una extraña enfermedad contraída por varios jóvenes obliga a los PJs a buscar la ayuda de un misterioso erudito que vive aislado en su torre.,la-torre-del-sabio.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-torre-del-sabio.md
,La torre dimensional,10,12,4,5,3,Torreón,"Era entonces cuando la magia recorría el mundo material haciendo de ella su hogar, permitiendo a los humanos usarla a su antojo, en pos del crecimiento, del saber y del bienestar.",la-torre-dimensional.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-torre-dimensional.md
,La Tumba de los Horrores,13,17,5,7,3,Dungeon,"Una mítica obra maestra del roleo de Dungeons. Una autentica prueba, para novatos y expertos. Un lugar de pesadilla y de poder. La muerte en cada esquina.",la-tumba-de-los-horrores.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-tumba-de-los-horrores.md
,La tumba olvidada,5,8,4,6,2,Dungeon,"Olvidada por el tiempo, alejada de los caminos, se levantan los restos de una antigua tumba cuyo nombre se borró de la memoria. Hoy, esa tumba ha sido encontrada y los tesoros que guarda en su interior aguardan a los valientes que se atrevan a adentrarse en ella.",la-tumba-olvidada.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la-tumba-olvidada.md
,La Estirpe Perdida,3,5,4,6,2,Dungeon|Exterior|Vermigor,"Un encuentro casual en el camino hace que los aventureros se introduzcan en una celebración Szgani con todo lo que acarrea: mujeres, alcohol, diversión… ¿Qué puede salir mal?",la_estirpe_perdida.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la_estirpe_perdida.md
,La Tumba de Jannus el Cruel,1,2,3,5,1,Dungeon|Oneshot,Las historias sobre Janus y los tesoros con los que fue enterrado corren de boca en boca… ¿Se atreverán los aventureros a adentrarse en el túmulo a pesar de los rumores sobre la maldición?,la_tumba_de_jannus_el_cruel.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/la_tumba_de_jannus_el_cruel.md
,Ladrones de Cadaveres,1,2,3,4,2,Investigación|Urbano,'El cementerio de Robleda está sufriendo las visitas de ladrones de tumbas y saqueadores. ¿Qué se oculta tras esos robos? ¿Son sólo ladrones o hay algo maligno detrás?',ladrones-de-cadaveres.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/ladrones-de-cadaveres.md
,El Señuelo,1,2,2,5,1,Oneshot,Esta aventura se desarrolla durante un viaje espacial y puede usarse como gancho para unir a un grupo de jugadores o simplemente ser un pequeño suceso en uno de sus primeros viajes.,lme-el-senuelo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/lme-el-senuelo.md
,La Star,1,2,2,4,3,Investigación,"Os miráis los unos a los otros, aturdidos. Sabéis quiénes sois, pero... ¿Qué estáis haciendo aquí?",lme-la-star.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/lme-la-star.md
,Los Cristales de Vex La'or,1,2,2,4,3,Xenomorfo|Exploración|Iniciación,Seguro que nunca pensaste que responder a una llamada de auxilio podía complicarse tanto...,lme-los-cristales-de-vexlaor.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/lme-los-cristales-de-vexlaor.md
,Mapamundi de Valion,,,,,,Gazetteer,El Mapamundi de Valion añade al entorno de La Marca toda la información que cualquier narrador necesita para que sus Jugadores exploren y se desplacen libremente de un lugar a otro.,mapamundi.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/mapamundi.md
,Mapas de Holocubierta,,,,,,Holocubierta|Gazetteer,Este archivo contiene la recopilación de los mapas que se incluyeron en las publicaciones de la editorial Holocubierta.,mapas_holocubierta.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/mapas_holocubierta.md
,Miedo a la Oscuridad,4,6,1,5,2,Fortaleza|Investigación|Vermigor|Exterior,"Un rescate afortunado lleva a los PJs a introducirse en una historia donde se ven involucradas la ambición, la traición y oscuros poderes mágicos.",miedo-a-la-oscuridad.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/miedo-a-la-oscuridad.md
MN0,Guía introductoria Marjalnegro,,,,,,Gazetteer|Marjalnegro,"Esta guía introductoria acerca a los jugadores y narradores a la región de Marjalnegro, complementando el escenario de campaña básico presentado en el MN01",mn0-guia-introductoria-marjalnegro.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/mn0-guia-introductoria-marjalnegro.md
MN1,Marjalnegro,1,36,4,6,,Marjalnegro|Gazetteer,"Perdido en los albores del tiempo existe un nuevo mundo, rebosante de misterios y rincones por explorar, Marjalnegro espera paciente para dar a los aventureros nuevas aventuras y retos.",mn1-marjalnegro.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/mn1-marjalnegro.md
MN2,La Balada del Efímero Paladín,1,2,4,6,2,Marjalnegro|Dungeon|Exploración,"Adéntrate en Marjalnegro, y disfruta con tus aventureros de este entorno desconocido, lleno de misterios y aventuras. Este es el primer módulo ambientado en esta tierra de oportunidades para los más bravos y aguerridos",mn2-la-balada-del-efimero-paladin.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/mn2-la-balada-del-efimero-paladin.md
MN3,Hasta que la Muerte os separe,6,8,3,5,4,Investigación|Marjalnegro,"Marjalnegro es un terreno poco conocido, pero en absoluto carente de emociones, peligros y secretos. Una tierra cuyo delicado equilibrio podría irse al traste, por culpa de una simple muerte accidental o a través de una elaborada traición.",mn3-hasta-que-la-muerte-os-separe.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/mn3-hasta-que-la-muerte-os-separe.md
V2,No profanarás el sueño de los muertos,6,8,3,5,,Vermigor|Urbano|Investigación|Reglamento,"El Circo de los Magníficos ha llegado a la populosa ciudad de Morowen, la capital de Mourntall, durante la semana de su carnaval, el mayor espectáculo popular de Vermigor. No tardarán en producirse toda suerte de extraños y macabros sucesos en las calles de la abarrotada urbe, mientras nuestros aventureros tratan de desentrañar los misterios tras la siniestra troupe circense. Algo terrible esta a punto de suceder...",no-profanaras-el-sueno-de-los-muertos.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/no-profanaras-el-sueno-de-los-muertos.md
,Noches de venganza,2,4,4,6,3,Investigación|Exploración|Aldea|Dungeon,"Los aventureros oirán que hay una jugosa recompensa por un bandido llamado Rajalunas y su banda de kobolds, a los que han visto en la Llambria, en los alrededores de una aldea llamada El Villar.",noches-de-venganza.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/noches-de-venganza.md
,Ojos de Serpiente,4,5,4,6,7,Marítima|Urbano|Templo,"Relativamente extensa aventura, que transportará a los jugadores hasta las desiertas tierras de Neferu.",ojos-de-serpiente.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/ojos-de-serpiente.md
,Pandemonium,10,10,4,5,4,Exploración|Dungeon|Saja Raja,"Los aventureros deberán adentrarse en un plano demoníaco (Grotos) con la intención de salvar el alma de una joven traicionada. El módulo se desarrollará entre lugares de pesadilla y locura, con el constante acoso  de seres demoníacos y del propio plano.",pandemonium.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/pandemonium.md
,Planes Oscuros,3,4,4,5,5,Campaña|La Orden del Libro,"Tras los acontecimientos desatados durante 'El Enclave', la primera parte de esta trilogía, los personajes deberán enfrentarse al reto de atravesar una de las regiones más peligrosas de la comarca: el Gran Pantano. En él un sinfín de peligros, maravillas, amenazas y descubrimientos les esperan, mientras tratan de construir el camino que de forma a su destino.",planes_oscuros.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/planes_oscuros.md
,Por unas tinajas de miel,1,8,4,6,2,Investigación|Aldea|Exterior,"La aventura comienza con los personajes siendo contratados por Vestor, un mercader de Robleda que tiene un importante encargo de miel en Alameda.",por-unas-tinajas-de-miel.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/por-unas-tinajas-de-miel.md
,Pozos envenenados,2,4,5,6,2,Investigación,Esta aventura quedó finalista en las Necrorol toledanas 2025 y el autor la ofrece en el Códex para disfrute de la comunidad.,pozos-envenenados.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/pozos-envenenados.md
,Profanación,4,6,4,6,2,Templo|Dungeon,"La siguiente aventura supone un reto difícil, con criaturas enemigas, trampas y pruebas que podrían acabar rápidamente con cualquier jugador, por lo que se recomienda para jugadores de al menos nivel 4 a 6, aunque no es restrictivo y podría jugarse con un nivel menor, aunque se desaconseja.",profanacion.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/profanacion.md
,Redención,5,6,4,5,4,Campaña|La Orden del Libro,"El círculo se cierra sobre Robleda con los personajes en el ojo del huracán que se cierne sobre la ciudad. Tan solo quedan los últimos preparativos para alcanzar el final de la tortuosa senda que los personajes han construido. Es la hora de la verdad, es el momento de llegar a la tan ansiada meta para decidir qué fuerzas se alzan con la victoria final.",redencion.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/redencion.md
,Rescate en Torrealba,3,4,4,5,1,Aldea|Dungeon|Exterior|Oneshot,"'La desaparición de un mago contratado por las autoridades de Robleda, da lugar a una serie de acontecimientos que los jugadores deben afrontar.'",rescate-en-torrealba.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/rescate-en-torrealba.md
,Retorno a Brookmere,1,2,3,4,2,Iniciación|Dungeon,"Hace mucho, en los tiempos de la Gran Hambruna, los Trasgos, Orcos y otros monstruos llegados de las lejanas Tierras Heladas cayeron sobre Brookmere en busca de comida y tesoros, destruyendo todo lo que encontraron a su paso, incluido el castillo.",retorno-a-brookmere.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/retorno-a-brookmere.md
,Retorno al castillo prohibido de Varania,5,8,4,6,1,Oneshot|Vermigor,El castillo de Varania tiene un nuevo morador. ¿Se atreverán los aventureros a traspasar sus muros y afrontar los peligros que entraña?,retorno-al-castillo-de-varania.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/retorno-al-castillo-de-varania.md
S1,La gesta del enano,4,5,1,1,4,Dungeon|1 Jugador,"Módulo para un narrador y un personaje de, como mínimo, nivel 4",s1-la-gesta-del-enano.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/s1-la-gesta-del-enano.md
,Senderos en la Nieve,3,5,4,6,2,Exploración|Aldea|Exterior,"Los personajes llegarán hasta una aldea donde sus habitantes se ven acechados por las bestias del bosque. El viaje para acabar con estas criaturas, hará que los héroes descubran un gran mal oculto entre las montañas.",senderos-en-la-nieve.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/senderos-en-la-nieve.md
,Sepultura del Honor,3,4,3,4,3,El Valle del Dios Astado|Campaña|Urbano,"Sepultura del Honor es la segunda parte de la campaña titulada “El Valle del Dios Astado” para La Marca del Este. En esta ocasión la mayor parte de la acción tendrá lugar en la Ciudadela de Frysev, fortaleza inventada por el autor que fue añadida al Canon del Códex de la Marca.",sepultura-del-honor.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/sepultura-del-honor.md
,Serpientes entre las ramas,4,5,4,5,1,Investigación|Exploración|Bosque|Selva,"Después de años de una tensa paz entre ambos reinos, una fuerza misteriosa está haciendo crecer rápidamente la selva de Ofir, ganándole día a día terreno al desierto, con un descontrolado crecimiento vegetal.",serpientes-entre-las-ramas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/serpientes-entre-las-ramas.md
,Suplemento de Reglas,,,,,,Reglamento,Este Suplemento de Reglas añade opciones extra para el Reglamento de Aventuras en la Marca del Este.,suplemento_reglas_ALMDE.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/suplemento_reglas_ALMDE.md
TN1,Pacto de cenizas,2,4,3,4,2,Campaña|Fortaleza|Investigación|El Trono de Niebla,"Un oscuro pacto sellado en el corazón del reino, unos personajes marcados por sus pecados, un terror llegado desde las profundidades del pasado, una conspiración a punto de ser revelada y un templo en tinieblas.",tn1-pacto-de-cenizas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/tn1-pacto-de-cenizas.md
TN2,El feudo en llamas,3,5,4,5,2,Campaña|Urbano|Investigación|El Trono de Niebla,"Un ejército perdido en su hora más aciaga, una ciudad sometida a asedio por una fuerza implacable, unos personajes a punto de perder sus hogares, dos asesinatos a punto de ser perpetrados y un castillo envuelto en llamas.",tn2-el-feudo-en-llamas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/tn2-el-feudo-en-llamas.md
TN3,El corazón de la oscuridad,4,5,4,5,15,Campaña|Megadungeon|El Trono de Niebla,"En las entrañas de Marvalar, oculta durante siglos por el paso del tiempo y la ignorancia, se halla una antiquísima y gigantesca mazmorra, llena de tesoros, hechizos y criaturas sin par. Nuestros personajes se verán involucrados en la exploración de este subterráneo a petición de la propia corona de Marvalar, alertada de la presencia del lugar por un súbito ataque sorpresa sobre la capital. En su recorrido por sus espantosas salas, descubrirán verdades terribles que nunca pensaron que llegarían a vislumbrar, no solo sobre el mundo al que tanto aman, sino también sobre si mismos.",tn3-el-corazon-de-la-oscuridad.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/tn3-el-corazon-de-la-oscuridad.md
,"Todo muere, menos el amor",2,4,4,6,2,Dungeon|Investigación,"Rowton, una pequeña localidad al norte del reino humano de Válasos, es el epicentro de una serie de misteriosas apariciones de muertos vivientes. Los héroes acuden a la llamada de auxilio del burgomaestre de Rowton, y se verán envueltos en una historia de venganza y amor que trasciende la barrera entre la vida y la muerte.",todo-muere-menos-el-amor.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/todo-muere-menos-el-amor.md
,Tower of Doom. Capítulo 1,3,5,4,4,2,Saja raja|Exterior,,tower_of_doom_capitulo_1.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/tower_of_doom_capitulo_1.md
,¡Traición!,1,3,5,7,3,Iniciación|Dungeon,Aventura de iniciación ideal. Creada en 1985 para presentar la primera edición de Dungeons and Dragons y adaptada para Aventuras en la Marca del Este por Ricard Ibáñez.,traicion.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/traicion.md
,Un buen licor,1,2,3,5,1,Oneshot|Onepage,Una exploracion sencilla acaba con una peligrosa aventura...,un-buen-licor.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/un-buen-licor.md
,Un Buen Vino,1,1,4,6,1,Iniciación|Oneshot,"Aventura introductoria, originalmente ambientada en Greyhawk, adaptada a Aventuras en la Marca del Este.",un-buen-vino.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/un-buen-vino.md
,Una Extraña Enfermedad,2,4,4,5,2,Bosque|Selva|Exploración|Torreón,El grupo de aventureros deberá ir al Bosque de las Arañas para descubrir qué inquieta a sus habitantes y encontrar una cura para una rara enfermedad.,una_extrana_enfermedad.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/una_extrana_enfermedad.md
V1,El Castillo Prohibido de la Reina de Sangre,6,10,5,6,,Vermigor|Fortaleza|Sandbox|Urbano|Exploración,El castillo de Varania tiene una nueva señora que ha traído el caos y el terror al Valle de Galas y sus habitantes. Nunca antes una tierra había estado tan maldita y nunca antes un grupo de héroes había sido tan necesario. ¿Aceptarán los personajes el desafío? El Castillo Prohibido de La Reina de Sangre os espera.,v1-el-castillo-prohibido-de-la-reina-de-sangre.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/v1-el-castillo-prohibido-de-la-reina-de-sangre.md
,Vestir el Dungeon,,,,,,Gazetteer|Dungeon,"En este libreto, encontraremos tablas que nos ayudarán a “vestir el dungeon”, a otorgarle dinamismo, a insuflarle vida y personalidad, para tornarlo más creíble y vívido. Aparte de lo aquí recogido, sírvanse ustedes de crear sus propias entradas, con tal de ahormar la mazmorra a sus gustos.",vestireldungeon.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/vestireldungeon.md
,Vientos de Desesperación,6,7,4,5,2,Investigación|Urbano|Vermigor,"Una nota aparecida misteriosamente, pone a investigar a los aventureros una serie de asesinatos. ¿Podrán descubrir lo que ocurre y sobrevivir?",vientos_de_desesperacion.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/vientos_de_desesperacion.md
X1,En busca de la ciudad perdida de Garan,5,8,3,5,3,Exploración|Sandbox|Bosque|Selva|Exterior,"Un gran misterio aguarda en lo más profundo de las junglas de Cirinea, la legendaria ciudad perdida de Garan.",x1-la-ciudad-perdida-de-garan.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/x1-la-ciudad-perdida-de-garan.md
X2,El Arca de los Mil Inviernos,6,10,4,7,5,Exterior|Exploración|Sandbox|Isla,El más terrible de los peligros aguarda en el interior de un legendario artefacto perdido en los confines de la Isla Boreal: el Arca de los Mil Inviernos.,x2-el-arca-de-los-mil-inviernos.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/x2-el-arca-de-los-mil-inviernos.md
X3,La Taiga Maldita,5,9,3,5,10,exploración|sandbox|exterior|dragón|Reglamento,"Esta aventura que tienes entre manos es en realidad un módulo de exploración. En este caso viajaremos hasta la Taiga de Qurolas y la cordillera Qarachar para desentrañar todos sus misterios, empeñados en encontrar la corona del earl Erik de Scandia.",x3-la-taiga-maldita.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/x3-la-taiga-maldita.md
X4,Tiempos oscuros en Dormunder,10,12,4,7,,Exploración|Reglamento,Esta aventura nos permite explorar la hostil isla de Kern.,x4-tiempos-oscuros-en-dormunder.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/x4-tiempos-oscuros-en-dormunder.md
XR1,La ciudad de Xorandor,,,,,,Xorandor|Gazetteer|Reglamento,"Xorandor, una ciudad tan hermosa como peligrosa, donde la muerte acecha en cada callejón y el miedo es la única ley; donde las ruinas de las casas caídas en los conflictos del ayer alimentan los fuegos bélicos del ahora. Xorandor la grande, malévola y astuta; elegante y fiera; mortífera y cruel, como los seres que la habitan.",xr1-la-ciudad-de-xorandor.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/xr1-la-ciudad-de-xorandor.md
,¿¿Y la Navidad??,2,3,4,5,1,,Una aventura Navideña para jugar esas fechas llenas de amor y fraternidad.,y-la-navidad.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/y-la-navidad.md
